year,cbsa,county,geoid,hri,interval
2000,39300,44007,44007000159,1.38604496016,1
2000,15804,34007,34007006064,1.3918508178,1
2000,12580,24510,24510000906,1.39198575679,1
2000,36084,06001,06001404502,1.39527881779,1
2000,43340,22017,22017000226,1.39630628857,1
2000,10900,42077,42077000093,1.39770755859,1
2000,49660,39155,39155009214,1.39884829125,1
2000,37964,42101,42101000268,1.39905015705,1
2000,46140,40143,40143000036,1.40116540391,1
2000,37964,42101,42101000226,1.40203832653,1
2000,19804,26163,26163005517,1.40327027111,1
2000,33874,42091,42091202602,1.40351244473,1
2000,31084,06037,06037001251,1.40431425102,1
2000,19124,48113,48113000194,1.40490968885,1
2000,37964,42101,42101000269,1.40530675045,1
2000,38300,42003,42003001410,1.40871577873,1
2000,31084,06037,06037003014,1.4094854867,1
2000,33340,55079,55079000803,1.41007941123,1
2000,35084,34013,34013000201,1.41023279246,1
2000,20524,36027,36027002208,1.41192099734,1
2000,49660,39099,39099008117,1.41403486986,1
2000,17460,39035,39035001609,1.41418030839,1
2000,20260,27137,27137000031,1.41526496039,1
2000,16974,17031,17031008119,1.41617476872,1
2000,31084,06037,06037265420,1.41681814687,1
2000,31084,06037,06037003116,1.42034984346,1
2000,19740,08031,08031004202,1.42049669976,1
2000,40060,51760,51760000501,1.42105917004,1
2000,27140,28049,28049000013,1.42161524394,1
2000,19780,19153,19153000902,1.42181801618,1
2000,45780,39095,39095004501,1.42208684141,1
2000,42644,53033,53033000062,1.42404519602,1
2000,35084,34013,34013000199,1.42607404461,1
2000,35614,36005,36005021602,1.42618560219,1
2000,33124,12086,12086001104,1.42752283756,1
2000,26420,48167,48167007254,1.42793118608,1
2000,37964,42101,42101000117,1.43027677774,1
2000,33874,42091,42091002105,1.43138868615,1
2000,25540,09003,09003004173,1.43177669971,1
2000,25540,09003,09003005036,1.43182758018,1
2000,31084,06037,06037007032,1.43627285351,1
2000,12580,24510,24510280403,1.43703554601,1
2000,31084,06037,06037482101,1.43818466462,1
2000,44220,39023,39023000018,1.4381865966,1
2000,37964,42045,42045004046,1.43953631324,1
2000,33460,27123,27123030602,1.44075739386,1
2000,37964,42101,42101000232,1.44194827511,1
2000,30700,31109,31109000020,1.44217383131,1
2000,31084,06037,06037480202,1.44265369959,1
2000,36420,40109,40109001018,1.44288033678,1
2000,42540,42079,42079002012,1.44319520642,1
2000,35084,34039,34039000317,1.44406316214,1
2000,10420,39153,39153005061,1.44468443533,1
2000,14454,25021,25021004164,1.44530430017,1
2000,46140,40143,40143000008,1.4466677161,1
2000,35084,34039,34039000377,1.44761598776,1
2000,19804,26163,26163005507,1.4477098882,1
2000,41180,29189,29189002161,1.44811048948,1
2000,37964,42101,42101000206,1.44942609204,1
2000,33340,55079,55079000074,1.44956189057,1
2000,40900,06067,06067000024,1.45015736735,1
2000,26420,48167,48167007255,1.45182795883,1
2000,35084,34039,34039000325,1.45217234928,1
2000,37900,17143,17143000023,1.45244772982,1
2000,12060,13121,13121000100,1.45274811964,1
2000,15380,36029,36029006302,1.4537133332,1
2000,41180,29510,29510001013,1.45432303604,1
2000,31140,21111,21111000089,1.45491753497,1
2000,41180,29510,29510105198,1.45716192995,1
2000,41740,06073,06073002804,1.45719796078,1
2000,36084,06001,06001004238,1.45844872655,1
2000,37964,42101,42101000231,1.45874596793,1
2000,35084,34013,34013000191,1.45967485708,1
2000,30700,31109,31109000016,1.46076066901,1
2000,33460,27053,27053001091,1.46153245928,1
2000,35614,36119,36119000066,1.46272761843,1
2000,21780,18163,18163000006,1.46438822523,1
2000,49180,37067,37067000012,1.47016894923,1
2000,44060,53063,53063000045,1.47050318076,1
2000,36540,31055,31055000049,1.47050595279,1
2000,23060,18003,18003000032,1.47106610417,1
2000,19780,19153,19153003001,1.47149622747,1
2000,31084,06037,06037004608,1.47316450179,1
2000,14454,25023,25023005106,1.47554579115,1
2000,19380,39113,39113000006,1.47633857877,1
2000,33460,27123,27123000350,1.47654196155,1
2000,41180,29510,29510001082,1.47675332851,1
2000,16974,17031,17031008079,1.47713330822,1
2000,30780,05119,05119000015,1.47754694102,1
2000,47664,26125,26125001527,1.47821654625,1
2000,31084,06037,06037463102,1.47872024677,1
2000,40380,36055,36055000103,1.47998291333,1
2000,28140,29095,29095000072,1.48048405972,1
2000,20220,19061,19061000702,1.48146065974,1
2000,26420,48167,48167007253,1.48244688852,1
2000,47664,26125,26125001426,1.48332750434,1
2000,26580,54011,54011000020,1.48356795755,1
2000,31084,06037,06037002612,1.4850143763,1
2000,33340,55079,55079000908,1.48745712325,1
2000,15940,39151,39151007011,1.48812849346,1
2000,42644,53033,53033000063,1.49091985051,1
2000,16974,17197,17197008817,1.49170480919,1
2000,35084,34039,34039000379,1.49221631469,1
